date,total
2022-04-20,252.8
2022-04-21,254.2
2022-04-22,236.2
2022-04-23,148.2
2022-04-24,221.2
2022-04-25,247.8
2022-04-26,254.6
2022-04-27,255.6
2022-04-28,273.6
2022-04-29,212.2
2022-04-30,161.0
2022-05-01,226.2
2022-05-02,173.6
2022-05-03,164.8
2022-05-04,195.6
2022-05-05,222.6
2022-05-06,248.4
2022-05-07,221.0
2022-05-08,215.6
2022-05-09,225.2
2022-05-10,220.4
2022-05-11,224.4
2022-05-12,230.6
2022-05-13,219.4
2022-05-14,132.2
2022-05-15,202.8
2022-05-16,136.8
2022-05-17,233.6
2022-05-18,233.2
2022-05-19,226.0
2022-05-20,219.6
2022-05-21,126.6
2022-05-22,227.6
2022-05-23,227.0
2022-05-24,239.2
2022-05-25,225.2
2022-05-27,220.6
2022-05-28,115.0
2022-05-29,194.6
2022-05-30,198.4
2022-05-31,214.0
2022-06-01,136.4
2022-06-02,224.6
2022-06-03,221.4
2022-06-04,146.4
2022-06-05,115.4
2022-06-06,220.4
2022-06-07,234.0
2022-06-08,241.8
2022-06-09,228.0
2022-06-10,225.2
2022-06-11,123.2
2022-06-12,209.8
2022-06-13,225.0
2022-06-14,231.2
2022-06-15,240.6
2022-06-16,226.2
2022-06-17,211.8
2022-06-18,126.2
2022-06-19,197.8
2022-06-20,220.6
2022-06-21,222.2
2022-06-22,243.0
2022-06-23,233.2
2022-06-24,206.6
2022-06-25,117.0
2022-06-26,97.4
2022-06-27,217.0
2022-06-28,218.0
2022-06-29,233.8
2022-06-30,216.2
2022-07-01,236.8
2022-07-02,107.8
2022-07-03,167.2
2021-03-07,140.4
2021-05-30,154.2
2021-12-11,228.8
2021-12-12,211.2
2021-12-26,180.8
2022-05-26,120.4
